id;StazPrelievo;StazDeposito;x_StazPrelievo;y_StazPrelievo;x_StazDeposito;y_StazDeposito;distanza;duration_walk;duration_bike
44;Comune Palazzo Blu;Vittorio Emanuele;10.3998955;43.7157647;10.3987825;43.7101854;760.0;568.0;227.2
45;Vittorio Emanuele;Pratale;10.3987825;43.7101854;10.4184265;43.7215365;2516.0;1870.0;748.0
46;Comune Palazzo Blu;Duomo;10.3998955;43.7157647;10.3919852;43.7228627;1626.0;1220.0;488.0
47;Pratale;Vittorio Emanuele;10.4184265;43.7215365;10.3987825;43.7101854;2516.0;1908.0;763.2
48;Vittorio Emanuele;Duomo;10.3987825;43.7101854;10.3919852;43.7228627;1853.0;1388.0;555.2
49;Polo Marzotto;Polo Marzotto;10.4071847;43.7198029;10.4071847;43.7198029;0.0;0.0;0.0
50;Pratale;Borgo Stretto;10.4184265;43.7215365;10.4021322;43.7184126;1569.0;1205.0;482.0
51;Comune Palazzo Blu;Stazione F.S.;10.3998955;43.7157647;10.3989605;43.7084709;904.0;683.0;273.2
52;Porta a Lucca;Vittorio Emanuele;10.4022602;43.7242476;10.3987825;43.7101854;1761.0;1325.0;530.0
53;Polo Marzotto;Teatro Tribunale;10.4071847;43.7198029;10.4051037;43.7163803;544.0;409.0;163.6
54;Teatro Tribunale;Polo Marzotto;10.4051037;43.7163803;10.4071847;43.7198029;544.0;402.0;160.8
55;Stazione F.S.;Comune Palazzo Blu;10.3989605;43.7084709;10.3998955;43.7157647;904.0;672.0;268.8
56;Vittorio Emanuele;Stazione F.S.;10.3987825;43.7101854;10.3989605;43.7084709;193.0;150.0;60.0
57;Duomo;Stazione F.S.;10.3919852;43.7228627;10.3989605;43.7084709;2046.0;1561.0;624.4
58;Stazione F.S.;Duomo;10.3989605;43.7084709;10.3919852;43.7228627;2046.0;1546.0;618.4
59;Stazione F.S.;Polo Marzotto;10.3989605;43.7084709;10.4071847;43.7198029;1733.0;1284.0;513.6
60;Borgo Stretto;Duomo;10.4021322;43.7184126;10.3919852;43.7228627;1170.0;831.0;332.4
61;Comune Palazzo Blu;Palacongressi;10.3998955;43.7157647;10.4097121;43.7106075;1225.0;923.0;369.2
62;Palacongressi;Borgo Stretto;10.4097121;43.7106075;10.4021322;43.7184126;1220.0;925.0;370.0
63;Polo Marzotto;Borgo Stretto;10.4071847;43.7198029;10.4021322;43.7184126;543.0;406.0;162.4
64;Borgo Stretto;Polo Marzotto;10.4021322;43.7184126;10.4071847;43.7198029;543.0;379.0;151.6
65;Polo Marzotto;Comune Palazzo Blu;10.4071847;43.7198029;10.3998955;43.7157647;1036.0;760.0;304.0
66;Comune Palazzo Blu;Comune Palazzo Blu;10.3998955;43.7157647;10.3998955;43.7157647;0.0;0.0;0.0
67;Duomo;Polo Marzotto;10.3919852;43.7228627;10.4071847;43.7198029;1474.0;1086.0;434.4
68;Borgo Stretto;Borgo Stretto;10.4021322;43.7184126;10.4021322;43.7184126;0.0;0.0;0.0
69;Sms Biblioteca;Palacongressi;10.4191334;43.7065577;10.4097121;43.7106075;1081.0;817.0;326.8
70;Sms Biblioteca;Sms Biblioteca;10.4191334;43.7065577;10.4191334;43.7065577;0.0;0.0;0.0
71;Duomo;Teatro Tribunale;10.3919852;43.7228627;10.4051037;43.7163803;1541.0;1140.0;456.0
72;Polo Marzotto;Duomo;10.4071847;43.7198029;10.3919852;43.7228627;1474.0;1066.0;426.4
73;Teatro Tribunale;Borgo Stretto;10.4051037;43.7163803;10.4021322;43.7184126;413.0;308.0;123.2
74;Paparelli;Duomo;10.410243;43.7246423;10.3919852;43.7228627;1938.0;1460.0;584.0
75;Teatro Tribunale;Paparelli;10.4051037;43.7163803;10.410243;43.7246423;1488.0;1107.0;442.8
76;Borgo Stretto;Teatro Tribunale;10.4021322;43.7184126;10.4051037;43.7163803;413.0;292.0;116.8
77;Aeroporto;Aeroporto;10.4005415;43.6989552;10.4005415;43.6989552;0.0;0.0;0.0
78;Aeroporto;Polo Marzotto;10.4005415;43.6989552;10.4071847;43.7198029;2831.0;2201.0;880.4
79;Polo Marzotto;Porta a Lucca;10.4071847;43.7198029;10.4022602;43.7242476;910.0;666.0;266.4
80;Paparelli;Borgo Stretto;10.410243;43.7246423;10.4021322;43.7184126;1373.0;1065.0;426.0
81;Paparelli;Pietrasantina;10.410243;43.7246423;10.3928733;43.7290165;1943.0;1462.0;584.8
82;Stazione F.S.;Vittorio Emanuele;10.3989605;43.7084709;10.3987825;43.7101854;176.0;143.0;57.2
83;Comune Palazzo Blu;Borgo Stretto;10.3998955;43.7157647;10.4021322;43.7184126;493.0;387.0;154.8
84;Comune Palazzo Blu;Teatro Tribunale;10.3998955;43.7157647;10.4051037;43.7163803;526.0;402.0;160.8
85;Stazione F.S.;Aeroporto;10.3989605;43.7084709;10.4005415;43.6989552;1505.0;1123.0;449.2
86;Aeroporto;Stazione F.S.;10.4005415;43.6989552;10.3989605;43.7084709;1505.0;1153.0;461.2
87;Pratale;Comune Palazzo Blu;10.4184265;43.7215365;10.3998955;43.7157647;1971.0;1489.0;595.6
88;Paparelli;Teatro Tribunale;10.410243;43.7246423;10.4051037;43.7163803;1488.0;1148.0;459.2
89;Teatro Tribunale;Comune Palazzo Blu;10.4051037;43.7163803;10.3998955;43.7157647;526.0;387.0;154.8
90;Comune Palazzo Blu;Paparelli;10.3998955;43.7157647;10.410243;43.7246423;1866.0;1392.0;556.8
91;Vittorio Emanuele;Porta a Lucca;10.3987825;43.7101854;10.4022602;43.7242476;1761.0;1291.0;516.4
92;Teatro Tribunale;Duomo;10.4051037;43.7163803;10.3919852;43.7228627;1541.0;1108.0;443.2
93;Porta a Lucca;Borgo Stretto;10.4022602;43.7242476;10.4021322;43.7184126;676.0;534.0;213.6
94;Paparelli;Comune Palazzo Blu;10.410243;43.7246423;10.3998955;43.7157647;1866.0;1419.0;567.6
95;Comune Palazzo Blu;Pratale;10.3998955;43.7157647;10.4184265;43.7215365;1953.0;1453.0;581.2
96;Teatro Tribunale;Porta a Lucca;10.4051037;43.7163803;10.4022602;43.7242476;1089.0;790.0;316.0
97;Paparelli;Stazione F.S.;10.410243;43.7246423;10.3989605;43.7084709;2563.0;1952.0;780.8
98;Paparelli;Paparelli;10.410243;43.7246423;10.410243;43.7246423;0.0;0.0;0.0
99;Pratale;Pratale;10.4184265;43.7215365;10.4184265;43.7215365;0.0;0.0;0.0
100;Teatro Tribunale;Pratale;10.4051037;43.7163803;10.4184265;43.7215365;1427.0;1051.0;420.4
101;Duomo;Pratale;10.3919852;43.7228627;10.4184265;43.7215365;2425.0;1793.0;717.2
102;Vittorio Emanuele;Paparelli;10.3987825;43.7101854;10.410243;43.7246423;2457.0;1815.0;726.0
103;Pratale;Teatro Tribunale;10.4184265;43.7215365;10.4051037;43.7163803;1445.0;1103.0;441.2
104;Comune Palazzo Blu;Sms Biblioteca;10.3998955;43.7157647;10.4191334;43.7065577;2226.0;1658.0;663.2
105;Sms Biblioteca;Comune Palazzo Blu;10.4191334;43.7065577;10.3998955;43.7157647;2226.0;1667.0;666.8
106;Teatro Tribunale;Pietrasantina;10.4051037;43.7163803;10.3928733;43.7290165;2259.0;1661.0;664.4
107;Pietrasantina;Vittorio Emanuele;10.3928733;43.7290165;10.3987825;43.7101854;2709.0;2016.0;806.4
108;Pietrasantina;Stazione F.S.;10.3928733;43.7290165;10.3989605;43.7084709;2902.0;2166.0;866.4
109;Borgo Stretto;Pratale;10.4021322;43.7184126;10.4184265;43.7215365;1551.0;1143.0;457.2
110;Paparelli;Palacongressi;10.410243;43.7246423;10.4097121;43.7106075;2013.0;1539.0;615.6
111;Palacongressi;Sms Biblioteca;10.4097121;43.7106075;10.4191334;43.7065577;1081.0;809.0;323.6
112;Palacongressi;Palacongressi;10.4097121;43.7106075;10.4097121;43.7106075;0.0;0.0;0.0
113;Duomo;Paparelli;10.3919852;43.7228627;10.410243;43.7246423;1938.0;1450.0;580.0
114;Pietrasantina;Teatro Tribunale;10.3928733;43.7290165;10.4051037;43.7163803;2259.0;1697.0;678.8
115;Borgo Stretto;Ospedale Cisanello;10.4021322;43.7184126;10.4401533;43.7067956;3720.0;2775.0;1110.0
116;Palacongressi;Polo Marzotto;10.4097121;43.7106075;10.4071847;43.7198029;1134.0;866.0;346.4
117;Stazione F.S.;Porta a Lucca;10.3989605;43.7084709;10.4022602;43.7242476;1866.0;1387.0;554.8
118;Polo Marzotto;Sms Biblioteca;10.4071847;43.7198029;10.4191334;43.7065577;2135.0;1592.0;636.8
119;Borgo Stretto;Sms Biblioteca;10.4021322;43.7184126;10.4191334;43.7065577;2220.0;1628.0;651.2
120;Teatro Tribunale;Sms Biblioteca;10.4051037;43.7163803;10.4191334;43.7065577;1856.0;1372.0;548.8
121;Borgo Stretto;Palacongressi;10.4021322;43.7184126;10.4097121;43.7106075;1220.0;893.0;357.2
122;Stazione F.S.;Palacongressi;10.3989605;43.7084709;10.4097121;43.7106075;1044.0;843.0;337.2
123;Palacongressi;Stazione F.S.;10.4097121;43.7106075;10.3989605;43.7084709;1044.0;842.0;336.8
124;Porta a Lucca;Paparelli;10.4022602;43.7242476;10.410243;43.7246423;1003.0;755.0;302.0
125;Porta a Lucca;Porta a Lucca;10.4022602;43.7242476;10.4022602;43.7242476;0.0;0.0;0.0
126;Borgo Stretto;Porta a Lucca;10.4021322;43.7184126;10.4022602;43.7242476;676.0;482.0;192.8
127;Pratale;Paparelli;10.4184265;43.7215365;10.410243;43.7246423;816.0;606.0;242.4
128;Pratale;Stazione F.S.;10.4184265;43.7215365;10.3989605;43.7084709;2574.0;1958.0;783.2
129;Pratale;Pietrasantina;10.4184265;43.7215365;10.3928733;43.7290165;2476.0;1851.0;740.4
130;Stazione F.S.;Pratale;10.3989605;43.7084709;10.4184265;43.7215365;2572.0;1924.0;769.6
131;Pratale;Aeroporto;10.4184265;43.7215365;10.4005415;43.6989552;3542.0;2731.0;1092.4
132;Aeroporto;Pratale;10.4005415;43.6989552;10.4184265;43.7215365;3543.0;2724.0;1089.6
133;Teatro Tribunale;Palacongressi;10.4051037;43.7163803;10.4097121;43.7106075;855.0;636.0;254.4
134;Stazione F.S.;Sms Biblioteca;10.3989605;43.7084709;10.4191334;43.7065577;2099.0;1594.0;637.6
135;Pratale;Palacongressi;10.4184265;43.7215365;10.4097121;43.7106075;1798.0;1372.0;548.8
136;Pratale;Porta a Lucca;10.4184265;43.7215365;10.4022602;43.7242476;1536.0;1147.0;458.8
137;Porta a Lucca;Stazione F.S.;10.4022602;43.7242476;10.3989605;43.7084709;1866.0;1421.0;568.4
138;Palacongressi;Pratale;10.4097121;43.7106075;10.4184265;43.7215365;1798.0;1348.0;539.2
139;Stazione F.S.;Paparelli;10.3989605;43.7084709;10.410243;43.7246423;2563.0;1911.0;764.4
140;Porta a Lucca;Teatro Tribunale;10.4022602;43.7242476;10.4051037;43.7163803;1089.0;826.0;330.4
141;Porta a Lucca;Comune Palazzo Blu;10.4022602;43.7242476;10.3998955;43.7157647;1170.0;889.0;355.6
142;Porta a Lucca;Palacongressi;10.4022602;43.7242476;10.4097121;43.7106075;1896.0;1428.0;571.2
143;Palacongressi;Porta a Lucca;10.4097121;43.7106075;10.4022602;43.7242476;1896.0;1407.0;562.8
144;Porta a Lucca;Polo Marzotto;10.4022602;43.7242476;10.4071847;43.7198029;935.0;709.0;283.6
145;Duomo;Porta a Lucca;10.3919852;43.7228627;10.4022602;43.7242476;1309.0;973.0;389.2
146;Comune Palazzo Blu;Porta a Lucca;10.3998955;43.7157647;10.4022602;43.7242476;1170.0;869.0;347.6
147;Comune Palazzo Blu;Aeroporto;10.3998955;43.7157647;10.4005415;43.6989552;2425.0;1809.0;723.6
148;Duomo;Aeroporto;10.3919852;43.7228627;10.4005415;43.6989552;3551.0;2684.0;1073.6
149;Polo Marzotto;Aeroporto;10.4071847;43.7198029;10.4005415;43.6989552;2830.0;2176.0;870.4
150;Sms Biblioteca;Vittorio Emanuele;10.4191334;43.7065577;10.3987825;43.7101854;2056.0;1552.0;620.8
151;Paparelli;Vittorio Emanuele;10.410243;43.7246423;10.3987825;43.7101854;2457.0;1856.0;742.4
152;Palacongressi;Pietrasantina;10.4097121;43.7106075;10.3928733;43.7290165;3066.0;2279.0;911.6
153;Pietrasantina;Palacongressi;10.3928733;43.7290165;10.4097121;43.7106075;3066.0;2299.0;919.6
154;Aeroporto;Palacongressi;10.4005415;43.6989552;10.4097121;43.7106075;1905.0;1538.0;615.2
155;Porta a Lucca;Pratale;10.4022602;43.7242476;10.4184265;43.7215365;1536.0;1143.0;457.2
156;Palacongressi;Teatro Tribunale;10.4097121;43.7106075;10.4051037;43.7163803;855.0;654.0;261.6
157;Pratale;Duomo;10.4184265;43.7215365;10.3919852;43.7228627;2425.0;1805.0;722.0
158;Duomo;Palacongressi;10.3919852;43.7228627;10.4097121;43.7106075;2375.0;1768.0;707.2
159;Palacongressi;Duomo;10.4097121;43.7106075;10.3919852;43.7228627;2375.0;1751.0;700.4
160;Palacongressi;Paparelli;10.4097121;43.7106075;10.410243;43.7246423;2013.0;1511.0;604.4
161;Palacongressi;Ospedale Cisanello;10.4097121;43.7106075;10.4401533;43.7067956;2678.0;2014.0;805.6
162;Polo Marzotto;Ospedale Cisanello;10.4071847;43.7198029;10.4401533;43.7067956;3585.0;2693.0;1077.2
163;Ospedale Cisanello;Ospedale Cisanello;10.4401533;43.7067956;10.4401533;43.7067956;0.0;0.0;0.0
164;Duomo;Ospedale Cisanello;10.3919852;43.7228627;10.4401533;43.7067956;4875.0;3649.0;1459.6
165;Ospedale Cisanello;Duomo;10.4401533;43.7067956;10.3919852;43.7228627;4875.0;3648.0;1459.2
166;Ospedale Cisanello;Polo Marzotto;10.4401533;43.7067956;10.4071847;43.7198029;3585.0;2707.0;1082.8
167;Paparelli;Pratale;10.410243;43.7246423;10.4184265;43.7215365;816.0;608.0;243.2
168;Vittorio Emanuele;Aeroporto;10.3987825;43.7101854;10.4005415;43.6989552;1697.0;1273.0;509.2
169;Aeroporto;Vittorio Emanuele;10.4005415;43.6989552;10.3987825;43.7101854;1698.0;1308.0;523.2
170;Ospedale Cisanello;Vittorio Emanuele;10.4401533;43.7067956;10.3987825;43.7101854;3606.0;2760.0;1104.0
171;Pietrasantina;Porta a Lucca;10.3928733;43.7290165;10.4022602;43.7242476;1185.0;883.0;353.2
172;Sms Biblioteca;Teatro Tribunale;10.4191334;43.7065577;10.4051037;43.7163803;1856.0;1398.0;559.2
173;Porta a Lucca;Duomo;10.4022602;43.7242476;10.3919852;43.7228627;1309.0;973.0;389.2
174;Stazione F.S.;Ospedale Cisanello;10.3989605;43.7084709;10.4401533;43.7067956;3649.0;2795.0;1118.0
175;Porta a Lucca;Pietrasantina;10.4022602;43.7242476;10.3928733;43.7290165;1185.0;884.0;353.6
176;Ospedale Cisanello;Pratale;10.4401533;43.7067956;10.4184265;43.7215365;2839.0;2121.0;848.4
177;Ospedale Cisanello;Sms Biblioteca;10.4401533;43.7067956;10.4191334;43.7065577;2114.0;1591.0;636.4
178;Sms Biblioteca;Ospedale Cisanello;10.4191334;43.7065577;10.4401533;43.7067956;2114.0;1588.0;635.2
179;Comune Palazzo Blu;Ospedale Cisanello;10.3998955;43.7157647;10.4401533;43.7067956;3725.0;2804.0;1121.6
180;Pratale;Sms Biblioteca;10.4184265;43.7215365;10.4191334;43.7065577;2054.0;1559.0;623.6
181;Pietrasantina;Paparelli;10.3928733;43.7290165;10.410243;43.7246423;1943.0;1458.0;583.2
182;Pietrasantina;Aeroporto;10.3928733;43.7290165;10.4005415;43.6989552;4407.0;3289.0;1315.6
183;Stazione F.S.;Pietrasantina;10.3989605;43.7084709;10.3928733;43.7290165;2902.0;2146.0;858.4
184;Sms Biblioteca;Borgo Stretto;10.4191334;43.7065577;10.4021322;43.7184126;2220.0;1670.0;668.0
185;Teatro Tribunale;Aeroporto;10.4051037;43.7163803;10.4005415;43.6989552;2551.0;1945.0;778.0
186;Aeroporto;Borgo Stretto;10.4005415;43.6989552;10.4021322;43.7184126;2608.0;2037.0;814.8
187;Aeroporto;Pietrasantina;10.4005415;43.6989552;10.3928733;43.7290165;4407.0;3295.0;1318.0
188;Borgo Stretto;Aeroporto;10.4021322;43.7184126;10.4005415;43.6989552;2608.0;1993.0;797.2
189;Aeroporto;Teatro Tribunale;10.4005415;43.6989552;10.4051037;43.7163803;2552.0;1979.0;791.6
190;Ospedale Cisanello;Stazione F.S.;10.4401533;43.7067956;10.3989605;43.7084709;3649.0;2808.0;1123.2
191;Paparelli;Porta a Lucca;10.410243;43.7246423;10.4022602;43.7242476;1003.0;758.0;303.2
192;Pietrasantina;Pratale;10.3928733;43.7290165;10.4184265;43.7215365;2476.0;1846.0;738.4
193;Pratale;Ospedale Cisanello;10.4184265;43.7215365;10.4401533;43.7067956;2839.0;2133.0;853.2
194;Teatro Tribunale;Ospedale Cisanello;10.4051037;43.7163803;10.4401533;43.7067956;3340.0;2501.0;1000.4
195;Paparelli;Ospedale Cisanello;10.410243;43.7246423;10.4401533;43.7067956;3655.0;2741.0;1096.4
196;Sms Biblioteca;Pratale;10.4191334;43.7065577;10.4184265;43.7215365;2054.0;1543.0;617.2
197;Palacongressi;Aeroporto;10.4097121;43.7106075;10.4005415;43.6989552;1904.0;1515.0;606.0
198;Aeroporto;Comune Palazzo Blu;10.4005415;43.6989552;10.3998955;43.7157647;2339.0;1816.0;726.4
199;Ospedale Cisanello;Palacongressi;10.4401533;43.7067956;10.4097121;43.7106075;2677.0;2026.0;810.4
200;Vittorio Emanuele;Ospedale Cisanello;10.3987825;43.7101854;10.4401533;43.7067956;3606.0;2741.0;1096.4
201;Duomo;Sms Biblioteca;10.3919852;43.7228627;10.4191334;43.7065577;3376.0;2503.0;1001.2
202;Paparelli;Sms Biblioteca;10.410243;43.7246423;10.4191334;43.7065577;2824.0;2113.0;845.2
203;Ospedale Cisanello;Borgo Stretto;10.4401533;43.7067956;10.4021322;43.7184126;3720.0;2822.0;1128.8
204;Sms Biblioteca;Aeroporto;10.4191334;43.7065577;10.4005415;43.6989552;2960.0;2273.0;909.2
205;Sms Biblioteca;Polo Marzotto;10.4191334;43.7065577;10.4071847;43.7198029;2135.0;1610.0;644.0
206;Sms Biblioteca;Paparelli;10.4191334;43.7065577;10.410243;43.7246423;2824.0;2092.0;836.8
207;Sms Biblioteca;Duomo;10.4191334;43.7065577;10.3919852;43.7228627;3376.0;2495.0;998.0
208;Aeroporto;Sms Biblioteca;10.4005415;43.6989552;10.4191334;43.7065577;2960.0;2289.0;915.6
209;Aeroporto;Ospedale Cisanello;10.4005415;43.6989552;10.4401533;43.7067956;4510.0;3491.0;1396.4
210;Ospedale Cisanello;Aeroporto;10.4401533;43.7067956;10.4005415;43.6989552;4510.0;3481.0;1392.4
211;Porta a Lucca;Ospedale Cisanello;10.4022602;43.7242476;10.4401533;43.7067956;4375.0;3277.0;1310.8
212;Pietrasantina;Ospedale Cisanello;10.3928733;43.7290165;10.4401533;43.7067956;5314.0;3979.0;1591.6
213;Ospedale Cisanello;Pietrasantina;10.4401533;43.7067956;10.3928733;43.7290165;5314.0;3972.0;1588.8
214;Ospedale Cisanello;Porta a Lucca;10.4401533;43.7067956;10.4022602;43.7242476;4375.0;3269.0;1307.6
215;Porta a Lucca;Aeroporto;10.4022602;43.7242476;10.4005415;43.6989552;3284.0;2527.0;1010.8
216;Aeroporto;Porta a Lucca;10.4005415;43.6989552;10.4022602;43.7242476;3284.0;2520.0;1008.0
217;Ospedale Cisanello;Paparelli;10.4401533;43.7067956;10.410243;43.7246423;3655.0;2727.0;1090.8
218;Sms Biblioteca;Porta a Lucca;10.4191334;43.7065577;10.4022602;43.7242476;2897.0;2152.0;860.8
219;Aeroporto;Paparelli;10.4005415;43.6989552;10.410243;43.7246423;3710.0;2846.0;1138.4
220;Sms Biblioteca;Pietrasantina;10.4191334;43.7065577;10.3928733;43.7290165;4067.0;3023.0;1209.2
221;Paparelli;Aeroporto;10.410243;43.7246423;10.4005415;43.6989552;3709.0;2858.0;1143.2
222;Aeroporto;Duomo;10.4005415;43.6989552;10.3919852;43.7228627;3551.0;2696.0;1078.4
223;Porta a Lucca;Sms Biblioteca;10.4022602;43.7242476;10.4191334;43.7065577;2897.0;2163.0;865.2
224;Pietrasantina;Sms Biblioteca;10.3928733;43.7290165;10.4191334;43.7065577;4067.0;3034.0;1213.6
